Mot	CompteLocal	CompteGlobal	Différence	Lafon
生差	14	18	-4	0.9878
日常	14	18	-4	0.9878
实际	14	18	-4	0.9878
主题	28	36	-8	0.9878
坚持	14	18	-4	0.9878
標語	14	18	-4	0.9878
结社	14	18	-4	0.9878
抗議	14	18	-4	0.9878
狀態	14	18	-4	0.9878
无法	14	18	-4	0.9878
基督	14	18	-4	0.9878
得知	14	18	-4	0.9878
渊源	28	36	-8	0.9878
私人	14	18	-4	0.9878
互	14	18	-4	0.9878
議	14	18	-4	0.9878
允许	14	18	-4	0.9878
第	14	18	-4	0.9878
基	14	18	-4	0.9878
拉丁美洲	14	18	-4	0.9878
道	14	18	-4	0.9878
The	14	18	-4	0.9878
強	14	18	-4	0.9878
主义者	14	18	-4	0.9878
態	14	18	-4	0.9878
不遗余力	14	18	-4	0.9878
依赖性	14	18	-4	0.9878
至善	14	18	-4	0.9878
倾向	14	18	-4	0.9878
位数民主党	14	18	-4	0.9878
包	14	18	-4	0.9878
回	14	18	-4	0.9878
时	14	18	-4	0.9878
ALN	14	18	-4	0.9878
並逐	14	18	-4	0.9878
人权	42	54	-12	0.9878
確保	14	18	-4	0.9878
異	14	18	-4	0.9878
二	14	18	-4	0.9878
全	14	18	-4	0.9878
早期	14	18	-4	0.9878
认可	14	18	-4	0.9878
范围	28	36	-8	0.9878
舊	14	18	-4	0.9878
意	28	36	-8	0.9878
推行	14	18	-4	0.9878
民族	14	18	-4	0.9878
內	14	18	-4	0.9878
牛津	14	18	-4	0.9878
完整	14	18	-4	0.9878
產業	14	18	-4	0.9878
辩证法	14	18	-4	0.9878
阐	14	18	-4	0.9878
路線	14	18	-4	0.9878
Intellectual	28	36	-8	0.9878
該	14	18	-4	0.9878
利	14	18	-4	0.9878
威脅	14	18	-4	0.9878
分開	14	18	-4	0.9878
切人	14	18	-4	0.9878
发出	14	18	-4	0.9878
Cognitive	28	36	-8	0.9878
连	28	36	-8	0.9878
一方面	14	18	-4	0.9878
消	14	18	-4	0.9878
融入	14	18	-4	0.9878
產	14	18	-4	0.9878
念	14	18	-4	0.9878
集会	14	18	-4	0.9878
理	14	18	-4	0.9878
特	14	18	-4	0.9878
調經濟	14	18	-4	0.9878
黑格尔	14	18	-4	0.9878
——	134	173	-39	0.9837
發展	24	31	-7	0.9832
近现代	34	44	-10	0.9813
宗教	136	176	-40	0.9813
社会主义	30	39	-9	0.9769
反映	20	26	-6	0.9769
请	20	26	-6	0.9769
作为	66	86	-20	0.9746
仍然	26	34	-8	0.9712
概述	26	34	-8	0.9712
但是	42	55	-13	0.9698
信息	64	84	-20	0.9676
认知	64	84	-20	0.9676
這些	70	92	-22	0.9663
审美	38	50	-12	0.9652
解释	38	50	-12	0.9652
目標	22	29	-7	0.9634
混淆	28	37	-9	0.9611
支配	28	37	-9	0.9611
创造	40	53	-13	0.9585
這	40	53	-13	0.9585
方面	86	114	-28	0.9580
既	52	69	-17	0.9571
許	58	77	-19	0.9566
責任	30	40	-10	0.9525
道路	12	16	-4	0.9525
貧窮	18	24	-6	0.9525
認為人	12	16	-4	0.9525
議題	12	16	-4	0.9525
16	3	4	-1	0.9525
13	3	4	-1	0.9525
22	3	4	-1	0.9525
俱乐部	12	16	-4	0.9525
解决	36	48	-12	0.9525
弥补	12	16	-4	0.9525
產品	12	16	-4	0.9525
相近	9	12	-3	0.9525
前提	36	48	-12	0.9525
現實	36	48	-12	0.9525
強調個性	12	16	-4	0.9525
统治	12	16	-4	0.9525
有形而上	12	16	-4	0.9525
系	6	8	-2	0.9525
马克思主义	24	32	-8	0.9525
新闻	156	208	-52	0.9525
注明	6	8	-2	0.9525
▪	36	48	-12	0.9525
王國	12	16	-4	0.9525
给	54	72	-18	0.9525
自己	134	179	-45	0.9507
世界	132	177	-45	0.9471
言論	188	253	-65	0.9437
表现	26	35	-9	0.9434
想	26	35	-9	0.9434
更为	26	35	-9	0.9434
之外	26	35	-9	0.9434
相容論者	26	35	-9	0.9434
者	26	35	-9	0.9434
正是	26	35	-9	0.9434
權	23	31	-8	0.9422
而言	86	116	-30	0.9415
经济	68	92	-24	0.9387
濟	34	46	-12	0.9387
根基	34	46	-12	0.9387
义	34	46	-12	0.9387
受到	48	65	-17	0.9378
在于	62	84	-22	0.9374
自	84	114	-30	0.9358
席勒	14	19	-5	0.9358
点	14	19	-5	0.9358
后	14	19	-5	0.9358
思想	318	432	-114	0.9348
？	114	155	-41	0.9340
处境	22	30	-8	0.9313
明確	22	30	-8	0.9313
文章	22	30	-8	0.9313
随意	22	30	-8	0.9313
意愿	22	30	-8	0.9313
只能	22	30	-8	0.9313
機構	22	30	-8	0.9313
做什	22	30	-8	0.9313
追问	66	90	-24	0.9313
‘	22	30	-8	0.9313
相关	22	30	-8	0.9313
堕胎	22	30	-8	0.9313
行动者	22	30	-8	0.9313
批	22	30	-8	0.9313
正	22	30	-8	0.9313
仍	22	30	-8	0.9313
要件	22	30	-8	0.9313
人士	22	30	-8	0.9313
新政	22	30	-8	0.9313
考虑	22	30	-8	0.9313
可能性	22	30	-8	0.9313
机制	22	30	-8	0.9313
恐慌	22	30	-8	0.9313
群体	22	30	-8	0.9313
决	22	30	-8	0.9313
架构	22	30	-8	0.9313
問題	22	30	-8	0.9313
青年	22	30	-8	0.9313
)	112	153	-41	0.9297
1772年	16	22	-6	0.9236
更加	24	33	-9	0.9236
主人	16	22	-6	0.9236
对象	16	22	-6	0.9236
虽然	16	22	-6	0.9236
条件	32	44	-12	0.9236
另外	24	33	-9	0.9236
結果	16	22	-6	0.9236
.	246	339	-93	0.9216
聯盟	132	182	-50	0.9211
状态	58	80	-22	0.9207
女性	79	109	-30	0.9204
。	3150	4350	-1200	0.9196
人民	34	47	-13	0.9187
相關	34	47	-13	0.9187
自由放任	34	47	-13	0.9187
階級	34	47	-13	0.9187
美	52	72	-20	0.9172
价值	26	36	-10	0.9172
應該	52	72	-20	0.9172
公共	26	36	-10	0.9172
貿易	130	180	-50	0.9172
西方	78	108	-30	0.9172
三	44	61	-17	0.9160
:	31	43	-12	0.9156
词	62	86	-24	0.9156
政府	216	300	-84	0.9144
相	90	125	-35	0.9144
國際	82	114	-32	0.9135
随着	46	64	-18	0.9128
可	51	71	-20	0.9122
责任	112	156	-44	0.9118
事实	28	39	-11	0.9118
freedom	56	78	-22	0.9118
因此	116	162	-46	0.9094
他们	88	123	-35	0.9086
政黨	113	158	-45	0.9083
個	118	165	-47	0.9082
這樣	10	14	-4	0.9071
做事	10	14	-4	0.9071
经营者	20	28	-8	0.9071
体系	30	42	-12	0.9071
論	80	112	-32	0.9071
现象	10	14	-4	0.9071
无关	30	42	-12	0.9071
束缚	20	28	-8	0.9071
重點	10	14	-4	0.9071
内	30	42	-12	0.9071
现代人	30	42	-12	0.9071
右翼	10	14	-4	0.9071
觀念	40	56	-16	0.9071
議制	10	14	-4	0.9071
牴觸	10	14	-4	0.9071
容論者	10	14	-4	0.9071
然人	10	14	-4	0.9071
被动	10	14	-4	0.9071
决定性	10	14	-4	0.9071
們主	10	14	-4	0.9071
上帝	10	14	-4	0.9071
著称	10	14	-4	0.9071
非洲	10	14	-4	0.9071
年代	20	28	-8	0.9071
必须	60	84	-24	0.9071
公平	20	28	-8	0.9071
族群	10	14	-4	0.9071
批评	30	42	-12	0.9071
角色	10	14	-4	0.9071
阐述	30	42	-12	0.9071
拒斥	10	14	-4	0.9071
意识形态	10	14	-4	0.9071
强制	30	42	-12	0.9071
下來	10	14	-4	0.9071
成長	10	14	-4	0.9071
关键词	10	14	-4	0.9071
善	10	14	-4	0.9071
般	30	42	-12	0.9071
管制	10	14	-4	0.9071
游戏	30	42	-12	0.9071
具体	30	42	-12	0.9071
巨大	10	14	-4	0.9071
容忍	10	14	-4	0.9071
麦克菲	10	14	-4	0.9071
非常	10	14	-4	0.9071
硬決	10	14	-4	0.9071
意志论	30	42	-12	0.9071
對個人	30	42	-12	0.9071
著重	10	14	-4	0.9071
权利	202	283	-81	0.9065
生活	102	143	-41	0.9059
」	82	115	-33	0.9055
這個	52	73	-21	0.9046
(	104	146	-42	0.9046
不自由	42	59	-17	0.9040
那	170	239	-69	0.9033
限制	172	242	-70	0.9026
英语	162	228	-66	0.9023
因为	54	76	-22	0.9023
事实上	22	31	-9	0.9013
区分	22	31	-9	0.9013
使	78	110	-32	0.9005
可能	212	299	-87	0.9004
之	214	302	-88	0.8999
个	68	96	-28	0.8996
—	68	96	-28	0.8996
此	46	65	-19	0.8987
要求	106	150	-44	0.8974
多	132	187	-55	0.8965
深切	12	17	-5	0.8965
文明	12	17	-5	0.8965
反面	12	17	-5	0.8965
说明	24	34	-10	0.8965
一下	12	17	-5	0.8965
功利主义	12	17	-5	0.8965
旅行	12	17	-5	0.8965
當化	12	17	-5	0.8965
维度	12	17	-5	0.8965
就此	12	17	-5	0.8965
徹底	12	17	-5	0.8965
儒	12	17	-5	0.8965
③	12	17	-5	0.8965
龙似	12	17	-5	0.8965
因果	12	17	-5	0.8965
何以	12	17	-5	0.8965
无政府主义	12	17	-5	0.8965
形態	12	17	-5	0.8965
檢查	12	17	-5	0.8965
面面	12	17	-5	0.8965
不同	12	17	-5	0.8965
密爾將	12	17	-5	0.8965
激進	12	17	-5	0.8965
拋棄	12	17	-5	0.8965
继承	12	17	-5	0.8965
義務論者	12	17	-5	0.8965
差異	12	17	-5	0.8965
佔據	12	17	-5	0.8965
由于	12	17	-5	0.8965
好	12	17	-5	0.8965
就是说	12	17	-5	0.8965
現代人	12	17	-5	0.8965
倡导	12	17	-5	0.8965
」現實	12	17	-5	0.8965
說明	12	17	-5	0.8965
哈耶克	12	17	-5	0.8965
消除	12	17	-5	0.8965
以上	12	17	-5	0.8965
爭議	24	34	-10	0.8965
理由	12	17	-5	0.8965
苦	12	17	-5	0.8965
源泉	12	17	-5	0.8965
还	12	17	-5	0.8965
經濟	402	570	-168	0.8957
成	110	156	-46	0.8955
伯林	98	139	-41	0.8954
自我	50	71	-21	0.8943
传统	50	71	-21	0.8943
左派	50	71	-21	0.8943
反	88	125	-37	0.8941
将	126	179	-53	0.8939
完全	114	162	-48	0.8937
对应	38	54	-16	0.8937
比	76	108	-32	0.8937
而且	38	54	-16	0.8937
着	38	54	-16	0.8937
让	38	54	-16	0.8937
決定	76	108	-32	0.8937
任何	38	54	-16	0.8937
婚姻	38	54	-16	0.8937
英國	38	54	-16	0.8937
而是	38	54	-16	0.8937
重新	38	54	-16	0.8937
资本主义	38	54	-16	0.8937
这	310	441	-131	0.8927
理性	66	94	-28	0.8917
（	600	855	-255	0.8912
这个	120	171	-51	0.8912
康德	54	77	-23	0.8906
如果	122	174	-52	0.8904
產生	68	97	-29	0.8903
漸	28	40	-12	0.8890
学说	28	40	-12	0.8890
通过	84	120	-36	0.8890
伦理学	42	60	-18	0.8890
年	28	40	-12	0.8890
避免	21	30	-9	0.8890
高	42	60	-18	0.8890
只	84	120	-36	0.8890
遗忘权	58	83	-25	0.8875
为	324	464	-140	0.8868
自主	30	43	-13	0.8860
保守派	30	43	-13	0.8860
了	786	1127	-341	0.8857
基本	76	109	-33	0.8855
要	122	175	-53	0.8854
理念	46	66	-20	0.8851
享有	46	66	-20	0.8851
反对	46	66	-20	0.8851
一定	46	66	-20	0.8851
些	46	66	-20	0.8851
保护	46	66	-20	0.8851
权	46	66	-20	0.8851
超越	46	66	-20	0.8851
即	186	267	-81	0.8847
重要	78	112	-34	0.8844
而	562	807	-245	0.8844
拥有	110	158	-48	0.8842
艺术	48	69	-21	0.8835
呢	32	46	-14	0.8835
角度	32	46	-14	0.8835
第二	32	46	-14	0.8835
根据	32	46	-14	0.8835
開始	112	161	-49	0.8835
一	810	1165	-355	0.8830
會	82	118	-36	0.8825
什	82	118	-36	0.8825
分析	66	95	-29	0.8823
古典	132	190	-58	0.8823
有	512	737	-225	0.8823
認為	100	144	-44	0.8819
问题	200	288	-88	0.8819
么	236	340	-104	0.8815
家	322	464	-142	0.8813
地	154	222	-68	0.8810
及	120	173	-53	0.8809
新	181	261	-80	0.8807
在	1380	1990	-610	0.8807
选择	190	274	-84	0.8806
民主	122	176	-54	0.8803
則	54	78	-24	0.8792
資本	54	78	-24	0.8792
沒	54	78	-24	0.8792
仅	54	78	-24	0.8792
